slug,id,sofascore_id
krzysztof-danielewicz,215340,226660
carlos-heredia,530729,
bartosz-bartkowiak,462279,1017544
igor-lewandowski,573348,1644681
kamil-zapolnik,281246,787734
maciej-sliwa,528369,941966
mateusz-kaczmarek,577595,1033121
byron-burgering,692771,
jakub-lukowski,255905,339187
bruno-garcia,523766,915568
krzysztof-drzazga,267149,830796
david-panka,541160,
michal-bednarski,267179,792075
rafal-adamski,549982,1214235
hubert-kwolek,842939,1092988
marcel-zapytowski,598274,941969
marek-koziol,123220,71090
jakub-osobinski,514323,941971
adrian-sandach,750934,1065532
mario-zebic,261286,979935
themistoklis-tzimopoulos,34204,33342
rafal-grzelak,42060,54421
piotr-pierzchala,438479,936290
remigiusz-szywacz,296850,844681
przemyslaw-szarek,259464,316300
radoslaw-sewerys,555052,1012227
kornel-kordas,427290,890425
grzegorz-szymusik,381563,1162045
dawid-lisowski,553932,1000688
bartosz-pretnik,605812,1009663
radoslaw-turek,674655,1104042
marcel-gasior,241836,338159
filipe-oliveira,225158,229546
zvonimir-petrovic,523184,948523
hugo-diaz,534697,931448
piotr-basiuk,300420,845368
dawid-slabosz,700562,1117579
adrian-bielka,700655,1105182
marko-pervan,349168,784605
mateusz-cetnarski,51613,44799
emile-thiakane,191899,889646
pawel-lysiak,254937,800217
mateusz-sowinski,608603,1000685
jakub-gorski,554968,1032928
jacek-podgorski,267141,338783
jacek-kielb,37110,60738
maciej-firlej,451583,939574
kubilay-yilmaz,239886,882177
jakub-rybus,694482,1001989
artur-pirog,514327,941970
milosz-mleczko,366213,843422
wojciech-pawlowski,138456,161341
vjaceslavs-kudrjavcevs,325328,874995
konrad-reszka,473203,1088873
krystian-nowak,187976,138603
sebastian-rudol,220974,227886
michal-grudniewski,55572,581156
daniel-tanzyna,158448,100346
filip-becht,782640,1065450
marcel-pieczek,585080,971384
petar-mikulic,393837,872439
lukasz-kosakiewicz,310537,586186
patryk-mucha,385195,842343
marek-hanousek,76655,72830
mateusz-mozdzen,131137,96662
bartlomiej-poczobut,279323,608508
caique,795700,1089539
jakub-kmita,624951,
damian-skrzeczkowski,801238,
patryk-stepinski,210364,189117
dawid-owczarek,898862,1124155
mateusz-michalski,237295,252901
dominik-kun,201193,171011
merveille-fundambu,674219,1031100
daniel-maka,40076,580886
henrik-ojamaa,61666,93740
michael-ameyaw,528414,971393
robert-prochownik,697886,1020541
przemyslaw-kita,225908,
karol-czubak,622871,1006858
marcin-robak,36727,60328
maciej-gostomski,36789,109397
adrian-kostrzewski,426256,998321
jakub-nowaczek,808604,1103612
pawel-baranowski,79869,878240
kamil-pajnowski,357305,796993
tomasz-midzierski,42544,44950
leandro,76071,
kamil-duda,866232,1114157
kamil-rozmus,241851,608686
karol-turek,527603,
gabriel-matei,131882,69293
bartlomiej-kukulowicz,428919,
maciej-orlowski,273357,941389
jakub-zagorski,365956,893465
bartlomiej-kalinkowski,254390,573814
adrian-cierpka,225854,188983
marcin-stromecki,216480,844910
