id,slug,team,height,preferredFoot,marketValue
1021414,adrian-szczutowski,chrobry-glogow,194,Both,24000
,airam-cabrera,,,,
95359,michal-szromnik,gornik-zabrze,190,Right,140000
57982,matus-putnocky,partizan-bardejov,195,Right,24000
,dariusz-szczerbal,,,,
1113203,bartlomiej-frasik,no-team,190,Left,49000
1067327,milosz-tysiak,,,,
,mark-tamas,,,,
96374,israel-puerto,al-jabalain,187,Right,430000
139151,wojciech-golla,puskas-akademia,188,Right,420000
887691,konrad-poprawa,slask-wroclaw,185,Right,245000
966651,lukasz-bejger,slask-wroclaw,190,Right,1600000
45043,piotr-celeban,no-team,181,Right,
45452,mariusz-pawelec,slask-wroclaw-ii,180,Left,97000
1094921,olivier-wypart,,,,
,dino-stiglec,,,,
787465,lubambo-musonda,silkeborg-if,171,Both,475000
889645,patryk-janasik,slask-wroclaw,178,Right,570000
590114,guillermo-cotugno,racing-de-montevideo,177,Right,640000
984806,bartosz-borun,gks-jastrzebie,181,Right,91000
1067326,szymon-lewkot,,,,
913578,mathieu-scalet,,,,
1006857,marcin-szpakowski,gks-tychy,182,Right,245000
,jakub-labojko,,,,
798368,rafal-makowski,kisvarda-fc,191,Right,380000
39450,krzysztof-maczynski,no-team,175,Right,
798075,maciej-palaszewski,no-team,175,Right,140000
839344,przemyslaw-bargiel,wieczysta-krakow,179,Right,180000
1034268,mateusz-mackowiak,skra-czestochowa,175,Left,195000
863022,mateusz-praszelik,,,,
63416,robert-pich,othellos-athienou,173,Both,110000
901884,marcel-zylla,no-team,178,Right,97000
842341,adrian-lyszczarz,resovia-rzeszow,176,Right,210000
119859,bartlomiej-pawlowski,widzew-lodz,180,Right,485000
71072,waldemar-sobota,no-team,175,Right,
941964,piotr-samiec-talar,slask-wroclaw,181,Left,775000
868122,erik-exposito,slask-wroclaw,190,Left,2600000
796657,fabian-piasecki,,,,
913575,sebastian-bergier,,,,
72409,adrian-lis,warta-poznan,192,Right,195000
939460,daniel-bielica,,,,
943376,jan-wojnowski,no-team,189,,49000
1091318,leo-przybylak,,,,
997532,aleks-lawniczak,zaglebie-lubin,189,,580000
,robert-ivanov,,,,
921495,bartosz-kieliba,kks-1925-kalisz,188,Right,48000
111096,adrian-laskowski,no-team,188,Right,210000
984183,maik-nawrocki,celtic,190,Both,3700000
1046666,filip-malek,no-team,189,,24000
921500,nikodem-fiedosewicz,no-team,174,Left,105000
844913,jan-grzesik,siarka-tarnobrzeg,,,
846721,mateusz-spychala,oks-odra-opole,171,Both,285000
120927,mateusz-kupczak,warta-poznan,185,Right,270000
44957,lukasz-tralka,warta-poznan,186,Right,
792087,michal-kopczynski,warta-poznan,183,Both,155000
798709,jakub-kuzdra,chrobry-glogow,178,Right,160000
1101159,bartlomiej-burman,no-team,184,Right,
586132,jakub-kielb,warta-poznan,176,Left,185000
580894,michal-jakobowski,polonia-sroda-wielkopolska,170,Both,27000
845746,robert-janicki,wisla-pulawy,170,Right,69000
846675,gracjan-jaroch,resovia-rzeszow,172,,27000
571314,konrad-handzlik,no-team,168,Right,105000
221956,mariusz-rybicki,motor-lublin,175,Left,105000
984137,kajetan-szmyt,warta-poznan,171,Right,1400000
886328,makana-baku,ofi-crete,177,Left,440000
844917,mateusz-czyzycki,mks-korona-kielce,174,,320000
838635,mario-rodriguez,gimnastic-de-tarragona,180,,210000
1033256,dominik-smykowski,,,,
942342,mateusz-kuzimski,,,,
315162,adam-zrelak,,,,
882644,rafal-straczek,bordeaux,189,Right,650000
45401,michal-gliwa,resovia-rzeszow,188,Both,140000
250523,damian-primel,mks-chojniczanka-chojnice,187,Right,49000
1009468,mateusz-dudek,stal-mielec,182,Right,24000
,bozhidar-chorbadzhiyski,,,,
,mateusz-zyro,,,,
138596,marcin-flis,lks-lodz,187,Left,240000
120921,mateusz-matras,stal-mielec,193,Right,290000
325637,jonathan-de-amo,gornik-leczna,190,Right,155000
801170,kamil-koscielny,stal-rzeszow,185,Right,160000
996524,mateusz-bodzioch,unia-turza-slaska,180,Both,26000
,wojciech-blyszko,,,,
153039,wojciech-lisowski,pogon-szczecin,186,Right,26000
1022157,adrian-skrzyniak,lechia-tomaszow-mazowiecki,192,Both,27000
114364,albin-granlund,inter-turku,178,Right,93000
46921,martin-sus,no-team,184,Right,155000
1009469,lukasz-seweryn,stal-stalowa-wola,180,Both,160000
792141,grzegorz-tomasiewicz,piast-gliwice,167,Right,580000
365920,maciej-urbanczyk,hutnik-krakow,173,,72000
,michael-wyparlo,,,,
938661,damian-pawlowski,no-team,185,Right,49000
856130,robert-dadok,ruch-chorzow,182,Right,360000
1092746,przemyslaw-maj,czarni-polaniec,175,,47000
140643,krystian-getinger,stal-mielec,185,Left,185000
801019,maciej-domanski,stal-mielec,167,Right,330000
