id,slug,name,place_of_birth,brith_date,nationality,height,position,manager
554975,marcel-wedrychowski,Marcel Wedrychowski,Szczecin,13.01.2002,Polska,1.73,Prawy napastnik,
146067,kamil-drygas,Kamil Drygas,Kepno,7.09.1991,Polska,1.84,Srodkowy napastnik,
53721,adam-fraczczak,Adam Fraczczak,Kolobrzeg,7.08.1987,Polska,1.82,Srodkowy napastnik,
569593,hubert-turski,Hubert Turski,Szczecin,31.01.2003,Polska,1.92,Srodkowy napastnik,
699400,xavier-dziekonski,Xavier Dziekonski,Grajewo,,Polska,1.88,Bramkarz,BMG-SPORT
281791,damian-weglarz,Damian Weglarz,Bydgoszcz,21.03.1996,Polska,1.89,Bramkarz,
42891,pavels-steinbors,Pavels Steinbors,Riga,21.09.1985,Lotwa,1.91,Bramkarz,
364049,hubert-gostomski,,Warszawa,25.02.1998,Polska,1.91,Bramkarz,
830417,jakub-jasionek,,Bialystok,2.07.2004,Polska,1.88,Bramkarz,
109012,ivan-runje,,Split,,Chorwacja,1.92,Srodkowy obronca,
186744,bogdan-tiru,Bogdan Ionut Tiru,Constanta,15.03.1994,Rumunia,1.85,Srodkowy obronca,
42029,blazej-augustyn,Blazej Szczepan Augustyn,Strzelin,26.01.1988,Polska,1.91,Srodkowy obronca,
255721,bartosz-kwiecien,Bartosz Kwiecien,Starachowice,7.05.1994,Polska,1.89,Srodkowy obronca,
396525,myroslav-mazur,Mazur Miroslav Valentinovich,Kyiv,11.08.1998,Ukraina,1.94,Srodkowy obronca,
751104,milosz-matysik,Milosz Matysik,Bialystok,26.04.2004,Polska,1.90,Srodkowy obronca,
597614,jan-majsterek,Jan Majsterek,Garwolin,9.06.2000,Polska,1.87,Srodkowy obronca,
168943,bojan-nastic,Bojan Nastic,Vlasenica,6.07.1994,Bosnia i Hercegowina,1.82,Lewy obronca,
589013,bartlomiej-wdowik,Bartlomiej Wdowik,Olkusz,25.09.2000,Polska,1.84,Lewy obronca,UNIDOS
273173,bodvar-bodvarsson,Bodvar Bodvarsson,Hafnarfjordur,9.04.1995,Islandia,1.86,Lewy obronca,
663239,godfrey-bitok-stephen,Godfrey Bitok Stephen,Jos,22.08.2000,Nigeria,1.85,Lewy obronca,
342659,pawel-olszewski,Pawel Olszewski,Wroclaw,7.06.1999,Polska,1.78,Prawy obronca,
260842,andrej-kadlec,,Ilava,2.02.1996,Slowacja,1.75,Prawy obronca,
500246,szymon-pankiewicz,,Jaslo,9.02.2001,Polska,1.74,Prawy obronca,
